address,city,state,zip,price,beds,baths,sqft,equity_pct,lat,lng,tags,property_type,year_built,lot_size,price_per_sqft,days_on_market,image,status,sold_date,sold_price,owner_name,owner_mailing_address,owner_mailing_city,owner_mailing_state,owner_mailing_zip,owner_occupied,vacant,ownership_months,county,apn
2500 Kirby Drive,Houston,TX,77019,3200000,5,4.5,4800,42,29.7356,-95.4212,"{absentee,highEquity}",house,2019,12000,667,12,,active,,,River Oaks Trust,2500 Kirby Drive,Houston,TX,77019,true,false,26,Harris,
1800 Post Oak Blvd,Houston,TX,77056,2450000,4,3.5,3600,48,29.7489,-95.4612,"{highEquity}",condo,2020,0,681,15,,active,,,Galleria Holdings,1800 Post Oak Blvd,Houston,TX,77056,true,false,22,Harris,
500 Memorial Drive,Houston,TX,77024,4500000,5,5,5500,35,29.7623,-95.4834,"{absentee}",house,2021,18000,818,8,,active,,,Memorial Villages LLC,500 Memorial Drive,Houston,TX,77024,false,false,18,Harris,
3500 Westheimer Road,Houston,TX,77027,1650000,3,2.5,2400,55,29.7412,-95.4523,"{highEquity}",townhouse,2018,3500,688,20,,active,,,Upper Kirby Trust,3500 Westheimer Road,Houston,TX,77027,true,false,36,Harris,
1200 Heights Blvd,Houston,TX,77008,980000,3,2,1800,58,29.7878,-95.3989,"{highEquity,vacant}",house,2015,5500,544,28,,active,,,Heights Properties,1200 Heights Blvd,Houston,TX,77008,false,true,54,Harris,
6000 San Felipe St,Houston,TX,77057,1850000,4,3,2800,50,29.7534,-95.4789,"{absentee,highEquity}",house,2017,8500,661,18,,active,,,Tanglewood LLC,6000 San Felipe St,Houston,TX,77057,false,false,42,Harris,
800 Main Street,Houston,TX,77002,1200000,2,2,1600,45,29.7589,-95.3623,"{absentee}",condo,2020,0,750,10,,active,,,Downtown Houston Inc,800 Main Street,Houston,TX,77002,false,false,20,Harris,
4200 Montrose Blvd,Houston,TX,77006,850000,3,2,1600,62,29.7345,-95.3912,"{highEquity}",house,2012,4500,531,25,,active,,,Montrose Trust,4200 Montrose Blvd,Houston,TX,77006,true,false,72,Harris,
9500 Memorial Dr,Houston,TX,77024,5800000,6,5,6200,38,29.7712,-95.5234,"{absentee,highEquity}",house,2020,22000,935,6,,active,,,Energy Corridor Holdings,9500 Memorial Dr,Houston,TX,77024,true,false,20,Harris,
2000 Allen Parkway,Houston,TX,77019,720000,2,2,1400,52,29.7612,-95.4012,"{highEquity}",condo,2019,0,514,22,,active,,,Allen Parkway LLC,2000 Allen Parkway,Houston,TX,77019,true,false,30,Harris,
3000 Turtle Creek Blvd,Dallas,TX,75219,4200000,4,4,4200,40,32.8089,-96.8089,"{absentee,highEquity}",condo,2019,0,1000,10,,active,,,Turtle Creek Trust,3000 Turtle Creek Blvd,Dallas,TX,75219,true,false,24,Dallas,
5500 Preston Road,Dallas,TX,75205,3500000,5,4,4500,42,32.8345,-96.8012,"{highEquity}",house,2018,12000,778,14,,active,,,Highland Park LLC,5500 Preston Road,Dallas,TX,75205,true,false,36,Dallas,
2000 McKinney Ave,Dallas,TX,75201,1850000,3,2.5,2200,52,32.7912,-96.8012,"{absentee}",condo,2020,0,841,12,,active,,,Uptown Holdings,2000 McKinney Ave,Dallas,TX,75201,false,false,22,Dallas,
8000 Inwood Road,Dallas,TX,75209,2650000,4,3.5,3400,48,32.8534,-96.8234,"{highEquity,absentee}",house,2017,9500,779,18,,active,,,Inwood Estates,8000 Inwood Road,Dallas,TX,75209,false,false,42,Dallas,
1200 Main Street,Dallas,TX,75202,1450000,2,2,1800,45,32.7823,-96.7989,"{absentee}",condo,2021,0,806,8,,active,,,Downtown Dallas Inc,1200 Main Street,Dallas,TX,75202,false,false,16,Dallas,
4500 Swiss Avenue,Dallas,TX,75204,980000,3,2,2000,58,32.7912,-96.7823,"{highEquity}",house,2014,6500,490,25,,active,,,Swiss Avenue Trust,4500 Swiss Avenue,Dallas,TX,75204,true,false,60,Dallas,
6800 Lakewood Blvd,Dallas,TX,75214,1650000,4,3,2800,55,32.8234,-96.7612,"{highEquity,vacant}",house,2016,8000,589,22,,active,,,Lakewood Properties,6800 Lakewood Blvd,Dallas,TX,75214,false,true,48,Dallas,
9000 Douglas Ave,Dallas,TX,75225,2200000,4,3,3200,50,32.8612,-96.7989,"{absentee}",house,2019,10000,688,15,,active,,,Preston Hollow LLC,9000 Douglas Ave,Dallas,TX,75225,true,false,28,Dallas,
500 Victory Park Lane,Dallas,TX,75219,1200000,2,2,1500,48,32.7889,-96.8134,"{absentee,highEquity}",condo,2020,0,800,12,,active,,,Victory Park Holdings,500 Victory Park Lane,Dallas,TX,75219,false,false,24,Dallas,
7500 University Blvd,Dallas,TX,75225,3800000,5,4.5,4800,38,32.8534,-96.7823,"{highEquity}",house,2018,15000,792,10,,active,,,SMU Area Trust,7500 University Blvd,Dallas,TX,75225,true,false,34,Dallas
